,title,company,city,country,posted,link
49,Quality Assurance /Control Engineer,Gulsan Egypt Non-Woven Industries -,"6th of October,","Giza,",Egypt,https://wuzzuf.net/jobs/p/2utn435bzwbm-quality-assurance-control-engineer-gulsan-egypt-non-woven-industries-giza-egypt
50,Electrical Tender Engineer,Concrete Plus -,"New Cairo,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/ory80g8ojj3n-electrical-tender-engineer-concrete-plus-cairo-egypt
51,Operation Engineer Assistant,RISEUP (Endemag for Administrative Skills Development) -,"Maadi,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/tfr7jvonmu5e-operation-engineer-assistant-riseup-endemag-for-administrative-skills-development-cairo-egypt
52,Mechanical Design Engineer,El Teriak Industrial Group -,"6th of October,","Giza,",Egypt,https://wuzzuf.net/jobs/p/0o9xrqfkyhb8-mechanical-design-engineer-el-teriak-industrial-group-giza-egypt
53,IT Maintenance Engineer,Protection -,"Sheikh Zayed,","Giza,",Egypt,https://wuzzuf.net/jobs/p/7u9cjycupj1b-it-maintenance-engineer-protection-giza-egypt
54,Production Engineer - Home Appliance,Regal Home Appliances  -,"6th of October,","Giza,",Egypt,https://wuzzuf.net/jobs/p/1ibmiibdxrz1-production-engineer-home-appliance-regal-home-appliances-giza-egypt
55,Civil Design Engineer,Cosmos -,"Sheraton,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/gmfycu2z1uex-civil-design-engineer-cosmos-cairo-egypt
56,Technical - civil office engineer,Inco group -,"Nasr City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/mvlz1deuye5h-technical-civil-office-engineer-inco-group-cairo-egypt
57,Material Planning (MRP Engineer) - East Port said,NERIC -,"Port Said,",Egypt,3 days ago,https://wuzzuf.net/jobs/p/mjtkhmhvgql1-material-planning-mrp-engineer-east-port-said-neric-port-said-egypt
58,Tendering Engineer,Mobi Egypt -,"Maadi,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/ceuubgllshac-tendering-engineer-mobi-egypt-cairo-egypt
59,Cost Estimation Engineer,ADCONS -,"Cairo,",Egypt,4 days ago,https://wuzzuf.net/jobs/p/1el49f4dnurf-cost-estimation-engineer-adcons-cairo-egypt
60,Sales Engineer,ISP -,"Riyadh,",Saudi Arabia,22 hours ago,https://wuzzuf.net/saudi/jobs/p/zjp3xvvv6vnq-sales-engineer-isp-riyadh-saudi-arabia
61,Senior Electrical Tender & Studies Engineer,Confidential -,"Heliopolis,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/30exmpxfarmc-senior-electrical-tender-studies-engineer-cairo-egypt
62,Senior Mechanical Tender & studies Engineer,Confidential -,"Heliopolis,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/ewaghoyoptc5-senior-mechanical-tender-studies-engineer-cairo-egypt
63,Senior Electrical Technical Office Engineer,Confidential -,"Heliopolis,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/dnaxhfte0kzq-senior-electrical-technical-office-engineer-cairo-egypt
64,Material Control Engineer,Elsewedy industries -,"10th of Ramadan City,","Cairo,",Egypt,https://wuzzuf.net/jobs/p/rmppjkpulutq-material-control-engineer-elsewedy-industries-cairo-egypt
